Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/04  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/04  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/04  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/05  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  04:00:00,8794604.825749658,8794604.82574966,0.0 
 01/05  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/05  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  07:00:00,31795367.824957345,31795367.824957345,600074.1074263129 
 01/05  08:00:00,34275012.39458366,34275012.39458366,0.0 
 01/05  09:00:00,36626655.68699905,36626655.68699904,0.0 
 01/05  10:00:00,33242141.541795954,33242141.54179595,0.0 
 01/05  11:00:00,28555804.204687387,28555804.204687387,0.0 
 01/05  12:00:00,29485359.131240644,29485359.13124064,0.0 
 01/05  13:00:00,26337764.000732873,26337764.00073287,0.0 
 01/05  14:00:00,28340136.034205593,28340136.034205586,0.0 
 01/05  15:00:00,27196396.729867686,27196396.729867686,0.0 
 01/05  16:00:00,28489137.744782995,28489137.74478299,0.0 
 01/05  17:00:00,30441924.117618207,30441924.117618207,0.0 
 01/05  18:00:00,26084989.60740024,26084989.60740024,0.0 
 01/05  19:00:00,23223732.80975345,23223732.809753448,0.0 
 01/05  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/05  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/05  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/06  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  03:00:00,8794604.825749658,8794604.82574966,0.0 
 01/06  04:00:00,8794604.825749658,8794604.82574966,0.0 
 01/06  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  07:00:00,27779511.169788383,27779511.169788383,0.0 
 01/06  08:00:00,31569934.812172428,31569934.812172428,0.0 
 01/06  09:00:00,31719299.17576246,31719299.175762456,0.0 
 01/06  10:00:00,28900385.586569786,28900385.586569782,0.0 
 01/06  11:00:00,27330570.48244627,27330570.482446257,0.0 
 01/06  12:00:00,28404463.039854877,28404463.039854877,0.0 
 01/06  13:00:00,25404210.959257655,25404210.95925765,0.0 
 01/06  14:00:00,28732050.221477307,28732050.2214773,0.0 
 01/06  15:00:00,27678271.719517097,27678271.719517093,0.0 
 01/06  16:00:00,28845558.620277446,28845558.620277442,0.0 
 01/06  17:00:00,29848311.335667346,29848311.335667346,0.0 
 01/06  18:00:00,25363092.654854175,25363092.654854175,0.0 
 01/06  19:00:00,23778573.164768603,23778573.164768606,0.0 
 01/06  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/06  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/06  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/07  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/07  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/07  10:00:00,4720258.596677196,4720258.596677196,0.0 
 01/07  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  17:00:00,5270428.596677196,5270428.596677196,0.0 
 01/07  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/08  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  17:00:00,5945428.596677196,5945428.596677196,0.0 
 01/08  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/09  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  07:00:00,34841894.37676818,34841894.37676818,14938804.476014696 
 01/09  08:00:00,37838275.18474374,37838275.18474374,17153460.78082636 
 01/09  09:00:00,37168248.05466381,37168248.05466381,772345.0015002845 
 01/09  10:00:00,33354624.59573893,33354624.595738936,0.0 
 01/09  11:00:00,30104755.539239585,30104755.53923958,0.0 
 01/09  12:00:00,30618168.88873137,30618168.88873137,0.0 
 01/09  13:00:00,27631855.252718884,27631855.252718877,0.0 
 01/09  14:00:00,29885964.310944095,29885964.310944088,0.0 
 01/09  15:00:00,28632232.486881904,28632232.486881904,0.0 
 01/09  16:00:00,29615978.133231506,29615978.133231506,0.0 
 01/09  17:00:00,31169303.48218502,31169303.482185017,0.0 
 01/09  18:00:00,27184634.236624263,27184634.236624256,0.0 
 01/09  19:00:00,23987873.834512487,23987873.834512487,0.0 
 01/09  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/09  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/09  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/10  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  02:00:00,9244604.825749658,9244604.82574966,0.0 
 01/10  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/10  06:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  07:00:00,26264902.390549257,26264902.390549257,0.0 
 01/10  08:00:00,27495721.539091285,27495721.53909129,0.0 
 01/10  09:00:00,30014847.06770802,30014847.067708015,0.0 
 01/10  10:00:00,28844666.206211187,28844666.20621118,0.0 
 01/10  11:00:00,27794594.89908169,27794594.899081685,0.0 
 01/10  12:00:00,28980954.980892632,28980954.980892632,0.0 
 01/10  13:00:00,25818655.87636648,25818655.876366477,0.0 
 01/10  14:00:00,29235916.454683773,29235916.45468377,0.0 
 01/10  15:00:00,28914129.64379711,28914129.643797107,0.0 
 01/10  16:00:00,30093711.745955847,30093711.74595584,0.0 
 01/10  17:00:00,31023436.07975524,31023436.079755243,0.0 
 01/10  18:00:00,25536938.9625969,25536938.962596897,0.0 
 01/10  19:00:00,22052027.497494027,22052027.497494023,0.0 
 01/10  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/10  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/10  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/11  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/11  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  03:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  04:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  07:00:00,23423101.263392504,23423101.263392504,0.0 
 01/11  08:00:00,25764237.463953525,25764237.463953525,0.0 
 01/11  09:00:00,29368078.657611147,29368078.65761114,0.0 
 01/11  10:00:00,28076003.747751877,28076003.74775187,0.0 
 01/11  11:00:00,26648201.93663547,26648201.936635464,0.0 
 01/11  12:00:00,27841148.097740557,27841148.097740553,0.0 
 01/11  13:00:00,24975826.275768757,24975826.275768757,0.0 
 01/11  14:00:00,27981727.665564172,27981727.665564165,0.0 
 01/11  15:00:00,27375831.419880465,27375831.41988046,0.0 
 01/11  16:00:00,28698127.237685345,28698127.237685338,0.0 
 01/11  17:00:00,29690266.627054524,29690266.62705452,0.0 
 01/11  18:00:00,22632348.08936446,22632348.089364458,0.0 
 01/11  19:00:00,17946242.706240352,17946242.70624035,0.0 
 01/11  20:00:00,9983935.254119202,9983935.254119204,0.0 
 01/11  21:00:00,8999331.820964705,8999331.820964705,0.0 
 01/11  22:00:00,8999331.820964705,8999331.820964705,0.0 
 01/11  23:00:00,8113188.731125657,8113188.731125657,0.0 
 01/11  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/12  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/12  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  07:00:00,22807269.20635672,22807269.20635672,0.0 
 01/12  08:00:00,28033780.20631393,28033780.20631393,0.0 
 01/12  09:00:00,30038167.739441905,30038167.7394419,0.0 
 01/12  10:00:00,28859255.386564456,28859255.386564456,0.0 
 01/12  11:00:00,27412714.09623181,27412714.09623181,0.0 
 01/12  12:00:00,28077726.647533625,28077726.647533625,0.0 
 01/12  13:00:00,25541828.148071982,25541828.148071982,0.0 
 01/12  14:00:00,27626474.105155244,27626474.10515524,0.0 
 01/12  15:00:00,26716313.742775574,26716313.742775574,0.0 
 01/12  16:00:00,28152842.938565582,28152842.93856558,0.0 
 01/12  17:00:00,30188861.147286966,30188861.14728696,0.0 
 01/12  18:00:00,26888267.30478367,26888267.304783665,0.0 
 01/12  19:00:00,23664925.53078261,23664925.530782603,0.0 
 01/12  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/12  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/12  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/12  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/12  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/13  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  07:00:00,27918240.060987268,27918240.060987264,10376.309173106063 
 01/13  08:00:00,32643948.232705846,32643948.23270584,646878.5867521814 
 01/13  09:00:00,31979986.125505768,31979986.125505768,0.0 
 01/13  10:00:00,32041072.860033147,32041072.860033147,0.0 
 01/13  11:00:00,29685004.258284457,29685004.258284457,0.0 
 01/13  12:00:00,29414828.48501927,29414828.485019267,0.0 
 01/13  13:00:00,28336763.890797127,28336763.890797127,0.0 
 01/13  14:00:00,29396632.71219114,29396632.712191135,0.0 
 01/13  15:00:00,28164207.664638143,28164207.664638143,0.0 
 01/13  16:00:00,29214986.580528222,29214986.580528222,0.0 
 01/13  17:00:00,30616425.814305354,30616425.81430535,0.0 
 01/13  18:00:00,29710619.668309383,29710619.668309383,0.0 
 01/13  19:00:00,25972645.002914146,25972645.002914142,0.0 
 01/13  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/13  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/13  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/13  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/13  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/14  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/14  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/14  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/14  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/14  18:00:00,6920938.596677196,6920938.596677196,0.0 
 01/14  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/14  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/14  23:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  24:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  06:00:00,6179338.596677196,6179338.596677196,0.0 
 01/15  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/15  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/15  09:00:00,4945258.596677196,4945258.596677196,0.0 
 01/15  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/15  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/15  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/15  24:00:00,6569038.596677196,6569038.596677196,0.0 
 01/16  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/16  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/16  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/16  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/16  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  20:00:00,6119038.596677196,6119038.596677196,0.0 
 01/16  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  24:00:00,6344038.596677196,6344038.596677196,0.0 
 01/17  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/17  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  07:00:00,33751164.66292457,33751164.66292457,8196536.960214876 
 01/17  08:00:00,36541558.70572576,36541558.70572575,8329397.246617224 
 01/17  09:00:00,36302453.19887678,36302453.198876776,60708.58683326201 
 01/17  10:00:00,33525642.19419181,33525642.194191802,0.0 
 01/17  11:00:00,31328686.117371824,31328686.11737182,0.0 
 01/17  12:00:00,32463314.648909297,32463314.648909293,0.0 
 01/17  13:00:00,29502125.996034104,29502125.9960341,0.0 
 01/17  14:00:00,31416040.23886532,31416040.23886532,0.0 
 01/17  15:00:00,29607664.33388873,29607664.333888724,0.0 
 01/17  16:00:00,30960561.98620905,30960561.986209046,0.0 
 01/17  17:00:00,32261184.000905972,32261184.00090597,0.0 
 01/17  18:00:00,29436363.671358038,29436363.671358034,0.0 
 01/17  19:00:00,26947731.5297596,26947731.5297596,0.0 
 01/17  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/17  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/17  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/17  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/17  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/18  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  07:00:00,31582540.43253702,31582540.432537016,3122912.332946425 
 01/18  08:00:00,33553643.567909233,33553643.567909222,1124717.2771394742 
 01/18  09:00:00,31267671.945510868,31267671.945510864,0.0 
 01/18  10:00:00,29226934.838280227,29226934.838280223,0.0 
 01/18  11:00:00,27693761.802115984,27693761.802115977,0.0 
 01/18  12:00:00,28581519.314581588,28581519.31458158,0.0 
 01/18  13:00:00,25299587.10294392,25299587.10294392,0.0 
 01/18  14:00:00,28783390.707474608,28783390.707474608,0.0 
 01/18  15:00:00,28194336.608994003,28194336.608994003,0.0 
 01/18  16:00:00,29227853.74644928,29227853.746449277,0.0 
 01/18  17:00:00,30033635.67835345,30033635.67835345,0.0 
 01/18  18:00:00,22865880.22430635,22865880.224306345,0.0 
 01/18  19:00:00,18358479.111393362,18358479.111393362,0.0 
