Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/04  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/04  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/04  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/05  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  04:00:00,8794604.825749658,8794604.82574966,0.0 
 01/05  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/05  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  07:00:00,31795366.968799096,31795366.968799096,600073.9822305978 
 01/05  08:00:00,34275010.82582078,34275010.825820774,0.0 
 01/05  09:00:00,36626652.4690735,36626652.4690735,0.0 
 01/05  10:00:00,33242141.346755244,33242141.346755244,0.0 
 01/05  11:00:00,28555803.97698327,28555803.97698327,0.0 
 01/05  12:00:00,29485358.855696652,29485358.85569665,0.0 
 01/05  13:00:00,26337763.696453445,26337763.696453437,0.0 
 01/05  14:00:00,28340135.71326987,28340135.71326987,0.0 
 01/05  15:00:00,27196396.50571584,27196396.505715832,0.0 
 01/05  16:00:00,28489137.37203339,28489137.37203339,0.0 
 01/05  17:00:00,30441923.757472247,30441923.75747224,0.0 
 01/05  18:00:00,26084988.95785506,26084988.95785506,0.0 
 01/05  19:00:00,23223728.154689427,23223728.15468943,0.0 
 01/05  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/05  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/05  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/06  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  03:00:00,8794604.825749658,8794604.82574966,0.0 
 01/06  04:00:00,8794604.825749658,8794604.82574966,0.0 
 01/06  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  07:00:00,27779510.169137158,27779510.16913716,0.0 
 01/06  08:00:00,31569931.38730121,31569931.38730121,0.0 
 01/06  09:00:00,31719298.584322535,31719298.58432254,0.0 
 01/06  10:00:00,28900385.218378834,28900385.21837883,0.0 
 01/06  11:00:00,27330570.240424387,27330570.240424387,0.0 
 01/06  12:00:00,28404462.964660246,28404462.964660246,0.0 
 01/06  13:00:00,25404210.76080802,25404210.76080802,0.0 
 01/06  14:00:00,28732050.364871856,28732050.36487186,0.0 
 01/06  15:00:00,27678271.906312622,27678271.906312622,0.0 
 01/06  16:00:00,28845558.798530042,28845558.798530042,0.0 
 01/06  17:00:00,29848311.46493384,29848311.46493384,0.0 
 01/06  18:00:00,25363091.429278664,25363091.429278664,0.0 
 01/06  19:00:00,23778565.29663612,23778565.296636116,0.0 
 01/06  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/06  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/06  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/07  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/07  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/07  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/07  10:00:00,4720258.596677196,4720258.596677196,0.0 
 01/07  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/07  17:00:00,5270428.596677196,5270428.596677196,0.0 
 01/07  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/07  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/07  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/08  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/08  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/08  17:00:00,5945428.596677196,5945428.596677196,0.0 
 01/08  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/08  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/08  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/09  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/09  07:00:00,34841891.69438266,34841891.69438267,14938799.689256445 
 01/09  08:00:00,37838272.2052612,37838272.2052612,17153456.401781544 
 01/09  09:00:00,37168243.712897725,37168243.71289772,772344.1306442096 
 01/09  10:00:00,33354623.81196587,33354623.811965868,0.0 
 01/09  11:00:00,30104754.886103425,30104754.886103418,0.0 
 01/09  12:00:00,30618167.94595613,30618167.94595613,0.0 
 01/09  13:00:00,27631854.41121248,27631854.411212478,0.0 
 01/09  14:00:00,29885963.744661853,29885963.744661853,0.0 
 01/09  15:00:00,28632232.25769194,28632232.25769194,0.0 
 01/09  16:00:00,29615977.575915694,29615977.575915694,0.0 
 01/09  17:00:00,31169302.923209354,31169302.923209354,0.0 
 01/09  18:00:00,27184632.76990398,27184632.76990398,0.0 
 01/09  19:00:00,23987868.039632514,23987868.039632514,0.0 
 01/09  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/09  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/09  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/09  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/10  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  02:00:00,9244604.825749658,9244604.82574966,0.0 
 01/10  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/10  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/10  06:00:00,8569604.825749658,8569604.82574966,0.0 
 01/10  07:00:00,26264900.5452373,26264900.545237307,0.0 
 01/10  08:00:00,27495717.592760563,27495717.592760563,0.0 
 01/10  09:00:00,30014846.36086415,30014846.36086415,0.0 
 01/10  10:00:00,28844665.701535717,28844665.70153572,0.0 
 01/10  11:00:00,27794594.838810157,27794594.838810153,0.0 
 01/10  12:00:00,28980954.793503333,28980954.79350333,0.0 
 01/10  13:00:00,25818655.706035193,25818655.70603519,0.0 
 01/10  14:00:00,29235916.255418926,29235916.25541892,0.0 
 01/10  15:00:00,28914129.444952067,28914129.444952063,0.0 
 01/10  16:00:00,30093711.553413868,30093711.553413868,0.0 
 01/10  17:00:00,31023435.847903114,31023435.847903118,0.0 
 01/10  18:00:00,25536938.046855353,25536938.04685535,0.0 
 01/10  19:00:00,22052021.25401349,22052021.25401349,0.0 
 01/10  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/10  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/10  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/10  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/11  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/11  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  03:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  04:00:00,9019604.825749658,9019604.82574966,0.0 
 01/11  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/11  07:00:00,23423099.618546706,23423099.618546706,0.0 
 01/11  08:00:00,25764235.67318025,25764235.673180252,0.0 
 01/11  09:00:00,29368077.81056145,29368077.81056145,0.0 
 01/11  10:00:00,28076003.39220617,28076003.39220617,0.0 
 01/11  11:00:00,26648202.210501656,26648202.210501652,0.0 
 01/11  12:00:00,27841148.541295737,27841148.541295737,0.0 
 01/11  13:00:00,24975826.27600051,24975826.27600051,0.0 
 01/11  14:00:00,27981728.084954463,27981728.084954463,0.0 
 01/11  15:00:00,27375836.271258734,27375836.27125873,0.0 
 01/11  16:00:00,28698132.115559254,28698132.115559254,0.0 
 01/11  17:00:00,29690269.01205778,29690269.01205778,0.0 
 01/11  18:00:00,22632347.61144214,22632347.61144214,0.0 
 01/11  19:00:00,17946241.978903748,17946241.978903748,0.0 
 01/11  20:00:00,9983935.254119202,9983935.254119204,0.0 
 01/11  21:00:00,8999331.820964705,8999331.820964705,0.0 
 01/11  22:00:00,8999331.820964705,8999331.820964705,0.0 
 01/11  23:00:00,8113188.731125657,8113188.731125657,0.0 
 01/11  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/12  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/12  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/12  07:00:00,22807266.59185355,22807266.591853555,0.0 
 01/12  08:00:00,28033777.987249188,28033777.987249196,0.0 
 01/12  09:00:00,30038166.445088107,30038166.44508811,0.0 
 01/12  10:00:00,28859254.788774263,28859254.788774263,0.0 
 01/12  11:00:00,27412713.50976066,27412713.50976066,0.0 
 01/12  12:00:00,28077726.087177392,28077726.08717739,0.0 
 01/12  13:00:00,25541827.017214008,25541827.017214,0.0 
 01/12  14:00:00,27626474.10540094,27626474.105400942,0.0 
 01/12  15:00:00,26716313.959382676,26716313.959382676,0.0 
 01/12  16:00:00,28152842.938811276,28152842.938811276,0.0 
 01/12  17:00:00,30188860.65375478,30188860.653754786,0.0 
 01/12  18:00:00,26888264.389502496,26888264.389502496,0.0 
 01/12  19:00:00,23664922.368678566,23664922.368678562,0.0 
 01/12  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/12  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/12  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/12  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/12  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/13  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/13  07:00:00,27918235.747804865,27918235.747804865,10375.13112225598 
 01/13  08:00:00,32643941.959081568,32643941.95908157,646877.0830199714 
 01/13  09:00:00,31979983.7050838,31979983.7050838,0.0 
 01/13  10:00:00,32041070.088376183,32041070.088376183,0.0 
 01/13  11:00:00,29685002.267891403,29685002.2678914,0.0 
 01/13  12:00:00,29414827.06823188,29414827.06823188,0.0 
 01/13  13:00:00,28336762.25976912,28336762.25976912,0.0 
 01/13  14:00:00,29396631.2048271,29396631.204827104,0.0 
 01/13  15:00:00,28164206.823102713,28164206.823102713,0.0 
 01/13  16:00:00,29214985.384438593,29214985.384438593,0.0 
 01/13  17:00:00,30616424.485690564,30616424.485690564,0.0 
 01/13  18:00:00,29710616.746940996,29710616.746941,0.0 
 01/13  19:00:00,25972633.380927872,25972633.380927876,0.0 
 01/13  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/13  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/13  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/13  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/13  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/14  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/14  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/14  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/14  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/14  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/14  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/14  18:00:00,6920938.596677196,6920938.596677196,0.0 
 01/14  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/14  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/14  23:00:00,5894038.596677196,5894038.596677196,0.0 
 01/14  24:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  06:00:00,6179338.596677196,6179338.596677196,0.0 
 01/15  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/15  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/15  09:00:00,4945258.596677196,4945258.596677196,0.0 
 01/15  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/15  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/15  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/15  24:00:00,6569038.596677196,6569038.596677196,0.0 
 01/16  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/16  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/16  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/16  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/16  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  20:00:00,6119038.596677196,6119038.596677196,0.0 
 01/16  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  24:00:00,6344038.596677196,6344038.596677196,0.0 
 01/17  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/17  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  07:00:00,33751161.175586976,33751161.17558698,8196531.7766539715 
 01/17  08:00:00,36541554.36115181,36541554.3611518,8329390.881541239 
 01/17  09:00:00,36302448.91577478,36302448.915774785,60707.865292485316 
 01/17  10:00:00,33525640.729119774,33525640.72911977,0.0 
 01/17  11:00:00,31328685.06208896,31328685.06208896,0.0 
 01/17  12:00:00,32463313.144014645,32463313.144014645,0.0 
 01/17  13:00:00,29502124.52632017,29502124.52632017,0.0 
 01/17  14:00:00,31416038.962768547,31416038.96276855,0.0 
 01/17  15:00:00,29607664.060660638,29607664.060660634,0.0 
 01/17  16:00:00,30960561.09283626,30960561.09283626,0.0 
 01/17  17:00:00,32261182.8840302,32261182.884030204,0.0 
 01/17  18:00:00,29436357.633872125,29436357.63387213,0.0 
 01/17  19:00:00,26947724.411058374,26947724.411058374,0.0 
 01/17  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/17  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/17  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/17  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/17  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/18  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/18  07:00:00,31582538.023235314,31582538.02323531,3122909.1707219738 
 01/18  08:00:00,33553637.825364545,33553637.825364552,1124715.943437296 
 01/18  09:00:00,31267670.97001776,31267670.97001776,0.0 
 01/18  10:00:00,29226934.05179402,29226934.05179402,0.0 
 01/18  11:00:00,27693761.68446917,27693761.68446917,0.0 
 01/18  12:00:00,28581519.282927863,28581519.282927863,0.0 
 01/18  13:00:00,25299586.88746317,25299586.887463167,0.0 
 01/18  14:00:00,28783390.990814105,28783390.990814105,0.0 
 01/18  15:00:00,28194336.956140686,28194336.956140686,0.0 
 01/18  16:00:00,29227854.11238124,29227854.112381235,0.0 
 01/18  17:00:00,30033636.132808372,30033636.132808372,0.0 
 01/18  18:00:00,22865879.498392414,22865879.498392418,0.0 
 01/18  19:00:00,18358478.166234337,18358478.166234337,0.0 
